sid	path	top_reviewed_neighbors
SRC-97F5FF513AD7	stages/stage12/archive/data/2k/final_remainder_report.json	18.3|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 16.9|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 16.9|SRC-F20094751CFB|stages/stage14/archive/docs/q-research/stage14-q4-squareclass-collision-literature.md|SR-STR-164; 16.6|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 16.3|SRC-8B0154540FC5|stages/stage14/archive/tasks/14-tH26/result.md|SR-STR-165,SR-STR-222
SRC-21E8F38A5E3D	stages/stage12/archive/data/2l/dlb_hypotheses_report.json	12.1|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 10.9|SRC-6FE69B71BB69|stages/stage15/15-6dq/result.md|SR-STR-209,SR-STR-222,SR-STR-225; 10.7|SRC-753D63EF208D|stages/stage14/archive/tasks/14-s7-131/result.md|SR-STR-173; 10.5|SRC-DD8AD7C2BA3C|stages/stage14/archive/tasks/14-s5o/result.md|SR-STR-192; 10.1|SRC-B52B88436C95|stages/stage14/archive/tasks/14-s5n/result.md|SR-STR-161
SRC-036919750297	stages/stage12/archive/data/2m/iterated_selberg_delange_report.json	10.7|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 10.4|SRC-E2A394288622|stages/stage14/archive/tasks/14-t32/result.md|SR-STR-165; 9.9|SRC-9815A5E0756D|stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json|SR-STR-017,SR-STR-179; 9.9|SRC-83CCA96E2A95|stages/stage15/evidence/stage15_6bw_channel_gcd.json|SR-STR-200,SR-STR-202; 9.9|SRC-6F52439F7C39|stages/stage15/evidence/stage15_6bx_gcd_moment_gate.json|SR-STR-215
SRC-4126D9D3F2BA	stages/stage12/archive/data/2n/coupled_region_report.json	12.5|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 12.0|SRC-3B012BF961D7|stages/stage14/archive/tasks/14-t57/result.md|SR-STR-165,SR-STR-169,SR-STR-225; 11.7|SRC-9815A5E0756D|stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json|SR-STR-017,SR-STR-179; 11.7|SRC-83CCA96E2A95|stages/stage15/evidence/stage15_6bw_channel_gcd.json|SR-STR-200,SR-STR-202; 11.7|SRC-6F52439F7C39|stages/stage15/evidence/stage15_6bx_gcd_moment_gate.json|SR-STR-215
SRC-2CC9A12AEF77	stages/stage12/archive/data/2o/analytic_closure_report.json	16.9|SRC-4C19EDD2C45C|stages/stage14/data/14-4/principal_density_localization_summary.json|SR-STR-204,SR-STR-205; 13.8|SRC-2C574A4760B0|stages/stage14/archive/tasks/14-s6-00/result.md|SR-STR-162; 13.6|SRC-3B53758FA76B|stages/stage14/archive/tasks/14-t89/result.md|SR-STR-222; 13.3|SRC-070A593A20A1|stages/stage14/archive/tasks/14-t88/result.md|SR-STR-222; 13.1|SRC-3814E81BF7E2|stages/stage14/archive/tasks/14-AM/result.md|SR-STR-167
SRC-E39FB18A3707	stages/stage12/archive/data/2p/final_bookkeeping_report.json	14.4|SRC-4C19EDD2C45C|stages/stage14/data/14-4/principal_density_localization_summary.json|SR-STR-204,SR-STR-205; 11.1|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 11.0|SRC-C480F7EC2F65|stages/stage15/evidence/stage15_6ao_projective_curve_bound.json|SR-STR-219; 11.0|SRC-9FD1DCB15986|stages/stage14/archive/docs/q-research/stage14-q14-reciprocal-divisor-window-literature-radar.md|SR-STR-170; 10.9|SRC-BB574A51F23E|stages/stage25/final.md|SR-STR-008,SR-STR-015,SR-STR-018,SR-STR-156,SR-STR-157,SR-STR-158,SR-STR-159
SRC-65DB591A4D6E	stages/stage12/archive/data/n1/average_report.json	15.6|SRC-3461E40D2E98|stages/stage14/data/14-2/historical_reproduction_report.json|SR-STR-014; 14.9|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 13.1|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 11.3|SRC-4C3C3F3BB666|stages/stage14/archive/tasks/14-t119/result.md|SR-STR-222; 11.2|SRC-DC3C94CCBE18|stages/stage14/data/14-t21/direction_scale_reduction.json|SR-STR-164,SR-STR-219
SRC-1D52921B7E60	stages/stage12/archive/data/n1b/primitive_joint_report.json	16.4|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 14.8|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 13.5|SRC-314E0A1266DA|stages/stage14/archive/tasks/14-t21/result.md|SR-STR-164,SR-STR-219; 13.4|SRC-55D1FC6E2569|stages/stage14/archive/tasks/14-s5i/result.md|SR-STR-161; 12.9|SRC-BB23CB506599|stages/stage15/15-6by/result.md|SR-STR-173,SR-STR-215
SRC-D1115D2A76A4	stages/stage12/archive/data/n1c/global_mobius_report.json	19.0|SRC-1E730EF2F673|stages/stage14/data/14-4/bijection_audit.json|SR-STR-037,SR-STR-181; 15.6|SRC-A395BD8B306F|stages/stage14/data/14-2/shared_leg_crosscheck_report.json|SR-STR-037,SR-STR-038; 15.4|SRC-E10C22EBDDDB|stages/stage14/archive/tasks/14-t11/result.md|SR-STR-223; 14.8|SRC-7AC6C41259DA|stages/stage14/data/14-4/height_envelope_audit.json|SR-STR-181; 13.3|SRC-5F4809D68C5C|stages/stage14/archive/tasks/14-s6-09/result.md|SR-STR-195,SR-STR-219
SRC-0B551BC28E27	stages/stage12/archive/data/n1d/analytic_exit_report.json	16.3|SRC-3B012BF961D7|stages/stage14/archive/tasks/14-t57/result.md|SR-STR-165,SR-STR-169,SR-STR-225; 15.8|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 15.2|SRC-CF13629B0544|stages/stage14/archive/tasks/14-4cb/result.md|SR-STR-196; 15.1|SRC-ACDE4038B8C4|stages/stage14/archive/tasks/14-4bv/result.md|SR-STR-186; 15.1|SRC-2FD99B832F30|stages/stage14/archive/tasks/14-AM1/result.md|SR-STR-167
SRC-C76B70C21A76	stages/stage12/archive/docs/README-old-layout.md	16.7|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 16.7|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 15.8|SRC-07B07E7367E5|stages/stage25/25-60/r505-r506-discovery-ledger.md|SR-STR-159; 15.6|SRC-B0751E43345B|stages/stage20/final.md|SR-STR-146,SR-STR-147; 15.1|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054
SRC-E35DDB618631	stages/stage12/archive/docs/proof-chain-2j-to-2p-review-page.md	11.6|SRC-D03E7C921BB8|stages/stage17/17-50/result.md|SR-STR-004; 11.5|SRC-73E9A5949B59|docs/stage14-toolbox/cards/TB-BOUND-radical-poor-hypotenuse-family.md|SR-STR-182; 11.5|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 11.3|SRC-34BDCCA69623|stages/stage21/final.md|SR-STR-004; 11.2|SRC-130F8FA59B58|docs/stage14-toolbox/cards/TB-DICTIONARY-kernel-five-column-refinement.md|SR-STR-178
SRC-5734043C488C	stages/stage12/archive/docs/stage12-n1-2-final-r02.md	22.4|SRC-920BD51D9E14|stages/stage14/archive/tasks/14-e6/result.md|SR-STR-216; 21.3|SRC-09CABBAA884C|stages/stage14/archive/tasks/14-e11/result.md|SR-STR-010; 21.3|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 20.9|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 20.6|SRC-B50D678E7FC7|stages/stage14/archive/tasks/14-t34/result.md|SR-STR-165
SRC-7522A92BE1DD	stages/stage12/archive/docs/stage12-n1-2-final-r03.md	25.8|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 24.4|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 22.7|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 22.2|SRC-09CABBAA884C|stages/stage14/archive/tasks/14-e11/result.md|SR-STR-010; 22.2|SRC-B0751E43345B|stages/stage20/final.md|SR-STR-146,SR-STR-147
SRC-16E07847B918	stages/stage12/archive/docs/stage12-n1-2-final-r04.md	24.7|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 23.5|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 22.8|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 22.3|SRC-09CABBAA884C|stages/stage14/archive/tasks/14-e11/result.md|SR-STR-010; 22.2|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155
SRC-043B68A18127	stages/stage12/archive/docs/stage12-n1-2-final-r05.md	25.4|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 24.1|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 23.0|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054; 22.8|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 22.7|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225
SRC-259AFAC084CB	stages/stage12/archive/docs/stage12-n1-2-final-r06-zero-base.md	25.7|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 24.0|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 23.8|SRC-7C468C9EE2C3|stages/stage17/final.md|SR-STR-004; 23.2|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 22.9|SRC-E85B74645065|stages/stage15/final.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216
SRC-C0ECFA1DE2CE	stages/stage12/archive/docs/stage12-n1-2-final-r07-self-contained.md	25.5|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 23.3|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 23.1|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 23.0|SRC-E85B74645065|stages/stage15/final.md|SR-STR-039,SR-STR-143,SR-STR-145,SR-STR-187,SR-STR-216; 22.8|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054
SRC-F8BDFF1C677B	stages/stage12/archive/docs/stage12-n1-2-final-r08-self-contained.md	25.0|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 22.8|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 22.8|SRC-7639847D2DF1|stages/stage24/final.md|SR-STR-016,SR-STR-155; 22.7|SRC-7C468C9EE2C3|stages/stage17/final.md|SR-STR-004; 22.5|SRC-7ADE1D2AA5AC|docs/stage14-arsenal.md|SR-STR-001,SR-STR-011,SR-STR-012,SR-STR-013,SR-STR-014,SR-STR-019,SR-STR-020,SR-STR-021,SR-STR-022,SR-STR-023,SR-STR-024,SR-STR-025,SR-STR-026,SR-STR-027,SR-STR-028,SR-STR-029,SR-STR-030,SR-STR-031,SR-STR-032,SR-STR-033,SR-STR-034,SR-STR-035,SR-STR-036,SR-STR-037,SR-STR-038,SR-STR-039,SR-STR-040,SR-STR-041,SR-STR-042,SR-STR-043,SR-STR-044,SR-STR-045,SR-STR-046,SR-STR-047,SR-STR-048,SR-STR-049,SR-STR-050,SR-STR-051,SR-STR-052,SR-STR-053,SR-STR-054
SRC-50281E4D77D6	stages/stage12/archive/docs/stage12-n1-2-final.md	15.8|SRC-2CC6C1A49806|stages/stage20/20-70/result.md|SR-STR-003,SR-STR-077,SR-STR-146,SR-STR-147; 15.6|SRC-B0751E43345B|stages/stage20/final.md|SR-STR-146,SR-STR-147; 15.4|SRC-CD302EDAFE72|stages/stage14/final.md|SR-STR-038,SR-STR-039; 14.8|SRC-C90500AB33FB|stages/stage14/archive/tasks/14-t150/result.md|SR-STR-222; 14.3|SRC-D90DC2ECA1D2|stages/stage27/27-20-r301t/result.md|SR-STR-118
SRC-21CC43F7E730	stages/stage12/archive/docs/stage12-n1-2-hyperbola.md	13.7|SRC-1CF992BBEC52|stages/stage14/archive/tasks/14-t2/result.md|SR-STR-032; 13.2|SRC-1C2AEB6BFB57|stages/stage14/archive/tasks/14-t45/result.md|SR-STR-165,SR-STR-225; 13.2|SRC-5B1F34C97D82|stages/stage14/archive/tasks/14-tH14/result.md|SR-STR-165,SR-STR-190,SR-STR-225; 13.0|SRC-284B764CCEC1|stages/stage14/archive/tasks/14-t60/result.md|SR-STR-225; 12.4|SRC-319159641DAB|stages/stage14/archive/tasks/14-4bu/result.md|SR-STR-195
SRC-9B4587F16DF0	stages/stage12/archive/docs/stage12-n1-2-index.md	18.0|SRC-3E1FDACA4EC9|stages/stage14/data/14-s4c/README.md|SR-STR-217; 16.7|SRC-4FDD77111076|stages/stage15/evidence/stage15_6bq_huang_level.json|SR-STR-102; 16.6|SRC-8FD028900163|stages/stage26/26-10/discovery-ledger.md|SR-STR-075; 15.5|SRC-9815A5E0756D|stages/stage15/evidence/stage15_6bs_multiplicative_sieve_gate.json|SR-STR-017,SR-STR-179; 15.5|SRC-83CCA96E2A95|stages/stage15/evidence/stage15_6bw_channel_gcd.json|SR-STR-200,SR-STR-202
